neuer Nachbar der Nimptschs;122/39
ordentlich;123/6
gebildet;123/6
anständige Manieren habend;123/7
unterhaltsam;123/8
in christl. Sekten aktiv;123/16
verbringt gerne Zeit mit Fr. Nimptsch;123/11
kommt wegen Lene;123/12
aus Bremen stammend;123/36
reiste nach Amerika;124/5
arbeitete als "sowas wie Klempner";124/6
war Prediger;124/9
arbeitete als Doktor;124/7
kein Freund von Vielehe;124/22
arbeitet in Fabrik in Köpenicker Str.;124/31
hat höhere Arbeiterposition;124/33
trägt Zylinder u. schwarze Handschuhe;124/35
erhält gutes Gehalt;124/36
besucht Botho;140/35
anliegendes schwarzes Haar;141/7
trägt Vatermörder;140/9
von Freimut u. untadeliger Gesinnung;141/35
will Lene heiraten;140/8
neigt zu predigerhaftem Sprechen;144/34
mit Lene verheiratet;179/10
männlich;123/2
wohnt zur Miete;122/40
