Botho zur Frau versprochen;48/15
gut erzogen;48/6
anmütig;48/23
Cousine Bothos;54/33
blond;54/11
"Vergissmeinnichtsaugen";54/11
nicht sentimental;54/12
von Männern viel umworben;54/14
wird viel erben;54/8
wird bald 22;99/2
heiratet Botho;108/6
zieht mit Botho in Wohnung in Landgrafenstr.;111/11
mag Aussicht auf Tiergarten;111/24
bleibt in Beziehung mit Botho glücklich;116/22
will noch keine Kinder;117/1
scheut ernste Gespräche;117/15
unterhaltsam;117/15
oberflächlich;117/17
wirkt auf ihre Mutter blasser;125/15
liebt "shopping";125/30
bewundert von Balafré;129/10
lässt sich gern bewundern;129/33
verreist;137/26
liebt Superlative;173/11
weiß wenig über preuß. Geschichte;174/22
findet die Namen "Gideon" und "Nimptsch" komisch;179/12
weiblich;48/6
